email,name,profile_score,ratings_score,search_score
user7508@t-mobile.com,Leilani R.,1.15,3.5,3.5
user9029@t-mobile.com,Melissa C.,1.35,4,2.94
user7903@hotmail.com,Faridah D.,1.15,4.6,2.88
user2311@t-mobile.com,Justin K.,1.35,3.83,2.84
user7650@verizon.net,Robert S.,1.15,3.57,2.84
user6178@hotmail.com,Ashley  K.,1.35,3.43,2.81
user4669@t-mobile.com,Jessica L.,1.35,2.8,2.8
user2807@hotmail.com,Chris K.,1.15,3.83,2.76
user5135@t-mobile.com,Jessica C.,1.15,3.43,2.75
user6379@t-mobile.com,Chasen   T.,1.35,3.29,2.71
user5398@verizon.net,Derek K.,0.77,4,2.71
user6860@verizon.net,Michael E.,1.35,3.29,2.71
user9082@t-mobile.com,Wendy J.,1.15,2.67,2.67
user7861@yahoo.com,Christa Z.,1.54,2.78,2.66
user1233@yahoo.com,Huan H.,0.77,3.43,2.63
user8738@gmail.com,Julie W.,1.15,3,2.63
user3337@verizon.net,Alex S.,0.96,3.67,2.59
user4671@yahoo.com,Meagan M.,0.96,3.29,2.59
user1777@yahoo.com,Nakisa S.,0.96,3,2.59
user1932@yahoo.com,Julie X.,1.15,3.5,2.56
user7080@verizon.net,Ricky E.,1.15,3.5,2.56
user1075@gmail.com,Terence A.,1.15,3.5,2.56
user3697@verizon.net,Kathy D.,1.15,2.55,2.55
user4980@gmail.com,Jessica E.,1.15,3.14,2.54
user7812@hotmail.com,Kailyn G.,1.35,3.33,2.54
user1943@verizon.net,Joei B.,0.96,4,2.48
user7177@verizon.net,Lisa D.,0.96,3.5,2.48
user1949@gmail.com,Ashley H.,1.15,3.33,2.46
user2983@verizon.net,Chanece W.,1.15,3.33,2.46
user9209@hotmail.com,Randal  W.,1.15,3,2.44
user8635@verizon.net,Paul S.,0.96,3,2.39
user4917@t-mobile.com,Mackenzie  S.,1.73,3,2.37
user9227@t-mobile.com,Pam L.,0.77,2.75,2.35
user9414@gmail.com,Alejandro G.,1.73,2.57,2.32
user9973@hotmail.com,Gwen G.,0.77,3.8,2.29
user3251@yahoo.com,Robin R.,0.96,4.25,2.28
user5598@hotmail.com,Gayle P.,1.15,3.4,2.27
user4691@hotmail.com,Kathryn S.,1.54,3,2.27
